rank,config,train_sharpe,val_sharpe,val_std,gap
1,BottlePro n=8 e=32 do=0.6 wd=0.4,2.8404,2.9489,0.4288,-0.1085
2,BottlePro n=10 e=48 do=0.6 wd=0.5,2.8365,2.9375,0.3404,-0.101
3,BottlePro n=8 e=24 do=0.7 wd=0.5,2.778,2.8925,0.6132,-0.1145
4,BottlePro n=8 e=32 do=0.5 wd=0.3,2.834,2.8569,0.4694,-0.0229
5,BottlePro n=6 e=48 do=0.6 wd=0.5,2.8032,2.8096,0.6487,-0.0064
6,BottlePro n=10 e=48 do=0.6 wd=0.4,2.7801,2.8038,0.596,-0.0237
7,BottlePro n=6 e=24 do=0.7 wd=0.5,2.7751,2.8018,0.5859,-0.0267
8,BottlePro n=8 e=48 do=0.6 wd=0.3,2.7736,2.7985,0.5943,-0.0249
9,BottlePro n=8 e=24 do=0.6 wd=0.4,2.8054,2.798,0.5563,0.0074
10,BottlePro n=10 e=32 do=0.5 wd=0.3,2.7794,2.7967,0.5985,-0.0173
11,BottlePro n=8 e=24 do=0.7 wd=0.3,2.8822,2.7957,0.6733,0.0865
12,BottlePro n=8 e=32 do=0.7 wd=0.5,2.8146,2.7957,0.5328,0.0189
13,BottlePro n=6 e=32 do=0.6 wd=0.4,2.785,2.7942,0.5921,-0.0093
14,BottlePro n=6 e=32 do=0.7 wd=0.5,2.7811,2.7925,0.5842,-0.0114
15,BottlePro n=10 e=24 do=0.6 wd=0.5,2.7726,2.7923,0.5903,-0.0197
16,BottlePro n=6 e=24 do=0.5 wd=0.5,2.8225,2.7921,0.5252,0.0304
17,BottlePro n=6 e=24 do=0.7 wd=0.4,2.8095,2.7918,0.6138,0.0178
18,BottlePro n=10 e=48 do=0.5 wd=0.4,2.7777,2.7913,0.5813,-0.0136
19,BottlePro n=6 e=32 do=0.7 wd=0.3,2.7784,2.7907,0.5979,-0.0123
20,BottlePro n=10 e=48 do=0.5 wd=0.5,2.813,2.7877,0.5955,0.0252
21,BottlePro n=10 e=24 do=0.6 wd=0.4,2.7979,2.7867,0.6039,0.0112
22,BottlePro n=6 e=24 do=0.6 wd=0.5,2.7734,2.7839,0.5795,-0.0105
23,BottlePro n=10 e=48 do=0.7 wd=0.4,2.7743,2.783,0.5873,-0.0087
24,BottlePro n=6 e=32 do=0.6 wd=0.5,2.7813,2.7828,0.5857,-0.0015
25,BottlePro n=10 e=24 do=0.5 wd=0.4,2.7755,2.7828,0.5721,-0.0073
26,BottlePro n=10 e=32 do=0.6 wd=0.5,2.7959,2.7799,0.5862,0.0161
27,BottlePro n=6 e=48 do=0.7 wd=0.5,2.7719,2.7795,0.5838,-0.0075
28,BottlePro n=6 e=48 do=0.5 wd=0.4,2.7748,2.7763,0.5849,-0.0015
29,BottlePro n=10 e=24 do=0.7 wd=0.5,2.7838,2.7749,0.5949,0.0089
30,BottlePro n=10 e=48 do=0.7 wd=0.3,2.7755,2.7727,0.583,0.0028
31,BottlePro n=6 e=24 do=0.6 wd=0.4,2.7772,2.7723,0.5983,0.0048
32,BottlePro n=6 e=32 do=0.5 wd=0.5,2.7697,2.7704,0.5717,-0.0007
33,BottlePro n=10 e=24 do=0.5 wd=0.5,2.8103,2.7639,0.5809,0.0464
34,BottlePro n=6 e=48 do=0.5 wd=0.5,2.8509,2.7639,0.596,0.087
35,BottlePro n=10 e=24 do=0.7 wd=0.4,2.7855,2.7635,0.5799,0.022
36,BottlePro n=8 e=48 do=0.5 wd=0.4,2.8465,2.7628,0.586,0.0837
37,BottlePro n=6 e=24 do=0.6 wd=0.3,2.7931,2.7612,0.5565,0.0319
38,BottlePro n=10 e=24 do=0.5 wd=0.3,2.8575,2.7598,0.599,0.0977
39,BottlePro n=8 e=48 do=0.7 wd=0.4,2.774,2.7586,0.6045,0.0154
40,BottlePro n=8 e=32 do=0.5 wd=0.5,2.7985,2.7582,0.5403,0.0404
41,BottlePro n=6 e=32 do=0.7 wd=0.4,2.7876,2.7552,0.5925,0.0324
42,BottlePro n=6 e=48 do=0.7 wd=0.3,2.8186,2.7502,0.5887,0.0684
43,BottlePro n=6 e=24 do=0.5 wd=0.4,2.8162,2.7497,0.5896,0.0666
44,BottlePro n=8 e=24 do=0.5 wd=0.4,2.7948,2.7467,0.5981,0.0481
45,BottlePro n=10 e=32 do=0.7 wd=0.4,2.7837,2.7454,0.5053,0.0383
46,BottlePro n=8 e=32 do=0.6 wd=0.3,2.8354,2.7435,0.6307,0.0919
47,BottlePro n=8 e=48 do=0.7 wd=0.5,2.8241,2.7389,0.586,0.0852
48,BottlePro n=8 e=24 do=0.5 wd=0.3,2.767,2.7317,0.588,0.0353
49,BottlePro n=8 e=48 do=0.7 wd=0.3,2.8272,2.7308,0.4999,0.0965
50,BottlePro n=8 e=48 do=0.5 wd=0.5,2.9059,2.7263,0.5777,0.1796
51,BottlePro n=6 e=24 do=0.5 wd=0.3,2.8153,2.7203,0.5762,0.095
52,BottlePro n=10 e=48 do=0.6 wd=0.3,2.6662,2.7199,0.5437,-0.0537
53,BottlePro n=10 e=32 do=0.5 wd=0.4,2.7932,2.7171,0.5633,0.0761
54,BottlePro n=8 e=24 do=0.7 wd=0.4,2.8238,2.7152,0.5035,0.1086
55,BottlePro n=6 e=48 do=0.5 wd=0.3,2.6903,2.7147,0.568,-0.0244
56,BottlePro n=10 e=32 do=0.5 wd=0.5,2.7629,2.7097,0.5592,0.0532
57,BottlePro n=8 e=48 do=0.6 wd=0.4,2.8258,2.7069,0.5826,0.119
58,BottlePro n=6 e=32 do=0.5 wd=0.3,2.9465,2.6971,0.5643,0.2494
59,BottlePro n=10 e=24 do=0.6 wd=0.3,2.8162,2.6938,0.5847,0.1224
60,BottlePro n=10 e=48 do=0.7 wd=0.5,2.785,2.6908,0.5407,0.0943
61,BottlePro n=10 e=48 do=0.5 wd=0.3,2.8426,2.6792,0.599,0.1635
62,BottlePro n=10 e=32 do=0.6 wd=0.4,2.8305,2.6771,0.6542,0.1534
63,BottlePro n=8 e=48 do=0.6 wd=0.5,2.8929,2.6708,0.7081,0.2222
64,BottlePro n=6 e=48 do=0.7 wd=0.4,2.8796,2.6397,0.7153,0.2399
65,BottlePro n=10 e=32 do=0.6 wd=0.3,2.9116,2.6367,0.7352,0.2749
66,BottlePro n=8 e=32 do=0.5 wd=0.4,2.7631,2.6257,0.5814,0.1373
67,BottlePro n=6 e=48 do=0.6 wd=0.4,2.8069,2.622,0.4789,0.1849
68,BottlePro n=8 e=32 do=0.7 wd=0.3,2.8388,2.6134,0.8177,0.2254
69,BottlePro n=8 e=24 do=0.6 wd=0.3,2.8675,2.6087,0.6726,0.2588
70,BottlePro n=6 e=32 do=0.6 wd=0.3,2.703,2.5902,0.6669,0.1128
71,BottlePro n=8 e=24 do=0.6 wd=0.5,2.7535,2.5818,0.6088,0.1717
72,BottlePro n=10 e=24 do=0.7 wd=0.3,2.8468,2.5797,1.0179,0.2671
73,BottlePro n=6 e=24 do=0.7 wd=0.3,2.6973,2.577,0.4822,0.1203
74,BottlePro n=6 e=32 do=0.5 wd=0.4,2.6262,2.5706,0.4764,0.0556
75,BottlePro n=8 e=24 do=0.5 wd=0.5,2.7477,2.5662,0.4448,0.1815
76,BottlePro n=8 e=48 do=0.5 wd=0.3,2.8405,2.5618,0.5832,0.2788
77,BottlePro n=8 e=32 do=0.6 wd=0.5,2.8667,2.5535,0.6201,0.3132
78,BottlePro n=10 e=32 do=0.7 wd=0.5,2.7095,2.5267,0.4706,0.1828
79,BottlePro n=8 e=32 do=0.7 wd=0.4,2.8604,2.5052,0.6792,0.3552
80,BottlePro n=6 e=48 do=0.6 wd=0.3,2.8433,2.3868,0.7285,0.4566
81,BottlePro n=10 e=32 do=0.7 wd=0.3,2.7111,2.1216,1.0732,0.5895
